UNIQUE_ID,Y,DS
9999_990090,0.00,2023-01-01
9999_990091,0.00,2023-01-01
9999_990093,0.00,2023-01-01
9999_990094,0.00,2023-01-01
9999_990212,0.00,2023-01-01
9999_990213,0.00,2023-01-01
9999_990215,0.00,2023-01-01
9999_990216,0.00,2023-01-01
9999_990217,0.00,2023-01-01
9999_990221,0.00,2023-01-01
9999_990231,0.00,2023-01-01
9999_990234,0.00,2023-01-01
9999_990238,0.00,2023-01-01
9999_990239,0.00,2023-01-01
9999_990240,0.00,2023-01-01
9999_990261,0.00,2023-01-01
9999_990264,0.00,2023-01-01
9999_990268,0.00,2023-01-01
9999_990280,0.00,2023-01-01
9999_990284,0.00,2023-01-01
9999_990285,0.00,2023-01-01
9999_990316,0.00,2023-01-01
9999_990318,0.00,2023-01-01
9999_990319,0.00,2023-01-01
9999_990320,0.00,2023-01-01
9999_990328,0.00,2023-01-01
9999_990344,0.00,2023-01-01
9999_990345,0.00,2023-01-01
9999_990347,0.00,2023-01-01
9999_990349,0.00,2023-01-01
9999_990353,0.00,2023-01-01
9999_990515,0.00,2023-01-01
9999_990517,0.00,2023-01-01
9999_990518,0.00,2023-01-01
9999_990519,0.00,2023-01-01
9999_990522,0.00,2023-01-01
9999_990523,0.00,2023-01-01
9999_990527,0.00,2023-01-01
9999_990537,0.00,2023-01-01
9999_990538,0.00,2023-01-01
9999_990543,0.00,2023-01-01
9999_990544,0.00,2023-01-01
9999_990546,0.00,2023-01-01
9999_990548,0.00,2023-01-01
9999_990549,0.00,2023-01-01
9999_990552,0.00,2023-01-01
9999_990561,0.00,2023-01-01
9999_990563,0.00,2023-01-01
9999_990564,0.00,2023-01-01
9999_990569,0.00,2023-01-01
9999_990574,0.00,2023-01-01
9999_990577,0.00,2023-01-01
9999_990580,0.00,2023-01-01
9999_990581,0.00,2023-01-01
9999_990583,0.00,2023-01-01
9999_990584,0.00,2023-01-01
9999_990586,0.00,2023-01-01
9999_990587,0.00,2023-01-01
9999_990591,0.00,2023-01-01
9999_990593,0.00,2023-01-01
9999_990595,0.00,2023-01-01
9999_990599,0.00,2023-01-01
9999_990600,0.00,2023-01-01
9999_990603,0.00,2023-01-01
9999_990638,0.00,2023-01-01
9999_991021,0.00,2023-01-01
9999_992123,0.00,2023-01-01
9999_992771,0.00,2023-01-01
9999_993593,0.00,2023-01-01
9999_993626,0.00,2023-01-01
9999_993692,0.00,2023-01-01
9999_993698,0.00,2023-01-01
9999_993717,0.00,2023-01-01
9999_994005,0.00,2023-01-01
9999_994073,0.00,2023-01-01
9999_994172,0.00,2023-01-01
9999_994173,0.00,2023-01-01
9999_994176,0.00,2023-01-01
